id,v1,v2
1,-1.488105242,0.8266178602
1,0.6254092705,0.0466872654
1,-1.576337724,0.5040967006
1,0.7371622726,0.8156908936
1,-0.868211474,0.9889851506
1,2.1164157384,0.3004825606
1,0.2942035524,0.9899992072
1,-0.534570696,0.6971241537
1,1.5903535575,0.1962337267
1,-0.254443827,0.6541765601
2,0.6402075834,0.3147210834
2,-0.916294375,0.7981717083
2,-1.130380799,0.3741054551
2,-0.456822553,0.886626047
2,-0.81256649,0.9697809974
2,2.2933754525,0.0236526141
2,-1.397785667,0.6734285814
2,-0.760355212,0.9309197906
2,-1.187503325,0.9491874445
2,-0.662520296,0.7670278972
3,-0.939029792,0.9277972546
3,0.8204855094,0.0813962347
3,-0.148961039,0.4169173834
3,0.5800816358,0.3546269254
3,0.927395363,0.5319864403
3,2.7115734724,0.0224668258
3,-3.140693806,0.6711199911
3,-1.7157865,0.9615928675
3,-0.3492413,0.4034157584
3,-0.831874239,0.9150574733
4,-2.942134838,0.9983313442
4,1.6399190554,0.183492059
4,0.4588054097,0.8828477016
4,0.2998979196,0.5387519135
4,1.0022550955,0.6107923158
4,1.0751030269,0.1813884574
4,-2.555696723,0.5713043709
4,1.1046844169,0.5751145718
4,-1.15037738,0.5870989219
4,1.1325936159,0.2941784073
5,-0.292568893,0.1457573954
5,-0.990623101,0.9638759866
5,1.6235133104,0.3830239002
5,-2.332378134,0.9590750728
5,-0.711246882,0.1668622159
5,-3.088308186,0.9193041375
5,0.4538023722,0.5327646292
5,-0.712507806,0.6119394296
5,0.768130647,0.575603409
5,1.9204405411,0.1489023381
6,-0.076185044,0.5776276037
6,-0.452458171,0.4206497825
6,0.7331590207,0.5211984792
6,0.5225853748,0.3180240548
6,-0.088298881,0.3877350313
6,0.6995983841,0.2502525878
6,-1.830357365,0.74865951
6,-0.926230508,0.9165906356
6,-1.469386885,0.9364964673
6,-0.197585845,0.670187007
7,-0.162385437,0.7762900422
7,2.235501899,0.3223277681
7,0.1143746139,0.1975559346
7,-1.578651337,0.7853727801
7,0.1075798743,0.8071540137
7,-0.521451608,0.9520672681
7,-1.417228923,0.8101749103
7,0.6024267196,0.5683926617
7,-0.445868542,0.9624323966
7,0.8411458079,0.6492565939
8,-2.328158174,0.8169916779
8,-1.084646408,0.4033311179
8,-0.848689086,0.2498854488
8,3.1509498239,0.2701310149
8,-0.716103754,0.4221123855
8,0.2389802002,0.0813834137
8,1.3268004487,0.0542978253
8,1.0149565192,0.2413562025
8,1.1212320459,0.5530628551
8,0.3894879047,0.2953992203
9,-1.299054348,0.9332484961
9,1.8027592615,0.1290645092
9,2.3117251197,0.1864768221
9,-0.595142451,0.7323177861
9,-0.021497042,0.6457780407
9,0.864388185,0.874398611
9,-0.47965128,0.7789638316
9,-1.079945639,0.1021240182
9,1.6109294562,0.2283668039
9,-0.467927657,0.050543075
10,-1.177942844,0.907916666
10,-0.920540955,0.4235144925
10,-1.100914339,0.8666670564
10,0.5510446654,0.0929559097
10,1.4127461491,0.1538565858
10,-0.150200485,0.740947001
10,2.1393857406,0.0447017681
10,-0.244290022,0.4318338933
10,-1.536432435,0.7584391119
10,0.1810810117,0.0747768167
11,0.9930534867,0.1220211238
11,-1.116264179,0.6543855354
11,-1.372862927,0.8683891068
11,1.1374144714,0.3636972799
11,0.7885876509,0.4890408518
11,-1.059120997,0.7844162033
11,-1.280937955,0.5233831715
11,0.4387671792,0.4340540908
11,-2.468147643,0.2783355425
11,-0.950738112,0.4554638716
12,0.1322793275,0.97234869
12,-0.666605277,0.4337251607
12,0.9068479006,0.5835945968
12,0.724579741,0.0753648254
12,-1.326545721,0.8664680826
12,-1.32450176,0.9657340734
12,0.1084078096,0.7272489885
12,0.5726585984,0.1021065
12,-1.068000686,0.8379717226
12,-0.135985056,0.8366454033
13,-1.40664916,0.6566507205
13,0.7864192094,0.4144968295
13,0.3999994672,0.6291438791
